Date_Key,Sale_Date,Year,Month,Month_Name,Day,Day_Name
20230203,2023-02-03,2023,2,February,3,Friday
20230421,2023-04-21,2023,4,April,21,Friday
20230921,2023-09-21,2023,9,September,21,Thursday
20230824,2023-08-24,2023,8,August,24,Thursday
20230324,2023-03-24,2023,3,March,24,Friday
20230211,2023-02-11,2023,2,February,11,Saturday
20230411,2023-04-11,2023,4,April,11,Tuesday
20230106,2023-01-06,2023,1,January,6,Friday
20230629,2023-06-29,2023,6,June,29,Thursday
20231009,2023-10-09,2023,10,October,9,Monday
20231116,2023-11-16,2023,11,November,16,Thursday
20230814,2023-08-14,2023,8,August,14,Monday
20231111,2023-11-11,2023,11,November,11,Saturday
20231231,2023-12-31,2023,12,December,31,Sunday
20230817,2023-08-17,2023,8,August,17,Thursday
20231016,2023-10-16,2023,10,October,16,Monday
20230530,2023-05-30,2023,5,May,30,Tuesday
20231004,2023-10-04,2023,10,October,4,Wednesday
20230717,2023-07-17,2023,7,July,17,Monday
20230311,2023-03-11,2023,3,March,11,Saturday
20230422,2023-04-22,2023,4,April,22,Saturday
20230104,2023-01-04,2023,1,January,4,Wednesday
20230503,2023-05-03,2023,5,May,3,Wednesday
20231127,2023-11-27,2023,11,November,27,Monday
20231114,2023-11-14,2023,11,November,14,Tuesday
20231216,2023-12-16,2023,12,December,16,Saturday
20230405,2023-04-05,2023,4,April,5,Wednesday
20230601,2023-06-01,2023,6,June,1,Thursday
20231107,2023-11-07,2023,11,November,7,Tuesday
20230517,2023-05-17,2023,5,May,17,Wednesday
20230904,2023-09-04,2023,9,September,4,Monday
20230831,2023-08-31,2023,8,August,31,Thursday
20230131,2023-01-31,2023,1,January,31,Tuesday
20230209,2023-02-09,2023,2,February,9,Thursday
20230205,2023-02-05,2023,2,February,5,Sunday
20230811,2023-08-11,2023,8,August,11,Friday
20231118,2023-11-18,2023,11,November,18,Saturday
