Product_Key,Product_ID,Product_Category
1,1052,Furniture
2,1093,Furniture
3,1015,Food
4,1072,Clothing
5,1061,Electronics
6,1021,Food
7,1083,Furniture
8,1087,Furniture
9,1075,Furniture
10,1075,Clothing
11,1088,Furniture
12,1100,Food
13,1024,Food
14,1003,Furniture
15,1022,Food
16,1053,Furniture
17,1002,Furniture
18,1088,Electronics
19,1030,Clothing
20,1038,Clothing
21,1002,Electronics
22,1064,Electronics
23,1060,Clothing
24,1021,Furniture
25,1033,Furniture
26,1076,Clothing
27,1058,Furniture
28,1022,Electronics
29,1089,Furniture
30,1049,Furniture
31,1091,Food
32,1059,Food
33,1042,Food
34,1092,Furniture
35,1080,Electronics
36,1015,Furniture
37,1062,Clothing
38,1062,Furniture
