Sales_Key,Product_Key,Date_Key,Sales_Rep_Key,Region_Key,Sales_Amount,Quantity_Sold,Unit_Cost,Unit_Price,Discount
1,1,20230203,1,1,5053.97,18,152.75,267.22,0.09
2,2,20230421,1,2,4384.02,17,3816.39,4209.44,0.11
3,3,20230921,2,3,4631.23,30,261.56,371.4,0.2
4,36,20230921,2,3,4631.23,30,261.56,371.4,0.2
5,4,20230824,1,3,2167.94,39,4330.03,4467.75,0.02
6,5,20230324,3,4,3750.2,13,637.37,692.71,0.08
7,6,20230211,3,2,3761.15,32,900.79,1106.51,0.21
8,24,20230211,3,2,3761.15,32,900.79,1106.51,0.21
9,7,20230411,1,2,618.31,29,2408.81,2624.09,0.14
10,8,20230106,4,3,7698.92,46,3702.51,3964.65,0.12
11,9,20230629,2,3,4223.39,30,738.06,1095.45,0.05
12,10,20230629,2,3,4223.39,30,738.06,1095.45,0.05
13,9,20231009,3,2,8239.58,18,2228.35,2682.34,0.13
14,10,20231009,3,2,8239.58,18,2228.35,2682.34,0.13
15,11,20231116,4,1,8518.45,13,2440.11,2517.6,0.23
16,18,20231116,4,1,8518.45,13,2440.11,2517.6,0.23
17,12,20230814,1,2,2198.74,43,1100.81,1137.44,0.08
18,13,20231111,4,2,6607.8,21,622.01,641.09,0.0
19,14,20231231,5,3,4775.59,30,4190.28,4270.65,0.2
20,15,20230817,3,3,8813.55,21,2537.2,2869.6,0.29
21,28,20230817,3,3,8813.55,21,2537.2,2869.6,0.29
22,16,20231016,1,1,2235.83,48,121.19,487.65,0.18
23,17,20230530,2,1,6810.35,17,4024.76,4420.15,0.04
24,21,20230530,2,1,6810.35,17,4024.76,4420.15,0.04
25,11,20231004,1,4,6116.75,40,4904.93,5034.35,0.1
26,18,20231004,1,4,6116.75,40,4904.93,5034.35,0.1
27,19,20230717,2,2,3023.48,19,3049.33,3209.22,0.26
28,20,20230311,1,3,1452.35,15,2543.36,2790.1,0.07
29,17,20230422,4,1,6551.23,9,4398.16,4439.12,0.18
30,21,20230422,4,1,6551.23,9,4398.16,4439.12,0.18
31,22,20230104,4,4,7412.11,10,4764.96,5074.42,0.12
32,23,20230503,4,4,3224.71,44,3784.96,4276.99,0.06
33,6,20231127,5,3,6483.84,31,2254.99,2441.79,0.24
34,24,20231127,5,3,6483.84,31,2254.99,2441.79,0.24
35,25,20231114,2,3,4011.8,23,2981.5,3360.4,0.22
36,26,20231216,4,4,7160.75,30,3519.63,3774.65,0.2
37,27,20230405,5,1,2072.23,33,1011.65,1084.28,0.07
38,15,20230601,2,4,8913.13,9,2263.65,2558.95,0.03
39,28,20230601,2,4,8913.13,9,2263.65,2558.95,0.03
40,29,20231107,1,2,2945.36,47,4157.62,4314.56,0.17
41,30,20230517,5,2,3741.08,1,3290.89,3317.75,0.17
42,31,20230904,3,3,675.11,44,2085.46,2406.58,0.06
43,32,20230831,5,1,1203.97,35,3333.64,3764.52,0.02
44,33,20230131,5,1,5207.03,11,635.2,814.14,0.02
45,34,20230209,2,2,2749.17,34,2037.41,2238.65,0.3
46,23,20230817,1,4,8371.25,16,3975.99,4422.59,0.24
47,35,20230205,3,3,245.46,9,1141.52,1550.19,0.28
48,3,20230811,4,4,3853.03,32,970.51,1330.84,0.06
49,36,20230811,4,4,3853.03,32,970.51,1330.84,0.06
50,37,20230106,4,4,3439.72,15,4756.55,4888.46,0.29
51,38,20230106,4,4,3439.72,15,4756.55,4888.46,0.29
52,37,20231118,5,4,291.34,12,1088.99,1545.0,0.04
53,38,20231118,5,4,291.34,12,1088.99,1545.0,0.04
